area	spp	yr	B var	CV
1	18	2012	14443.4	4793811.763	0.151590173
4	18	1980	22.5	506.102565	0.999854375
4	18	1983	566.2	16147.2819	0.224429452
4	18	1986	422.8	22612.738	0.355665383
4	18	1991	187.4	11725.0187	0.577812836
4	18	1994	1070.8	309828.035	0.519818814
4	18	1997	1545.1	1120300.4	0.685031675
4	18	2000	1051.3	250561.285	0.476135233
4	18	2002	1012	168037.821	0.405063404
4	18	2004	945.4	275954.787	0.555652622
4	18	2006	967.9	281672.348	0.548329507
4	18	2010	1052.3	594280.794	0.732582057
4	18	2012	451.8	120304.905	0.767706894
2	18	2002	16949.9658	3840259.93	0.115614281
2	18	2004	18792.7759	2830310.4	0.089521242
2	18	2008	26054.6433	10528665.1	0.124537896
2	18	2010	29334.4963	11694812.4	0.116578374
2	18	2012	29574.4191	10015319.2	0.107007982
